0.1    -7.37855    1    5
0.2    -6.7142    1    5
0.3    -6.35744    1    5
0.4    -6.13807    1    5
0.5    -6.00246    1    5
0.6    -5.92644    1    5
0.7    -5.89688    1    5
0.8    -5.90572    1    5
0.9    -5.94754    1    5
1    -6.01841    1    5
1.1    -6.11525    1    5
1.2    -6.23537    1    5
1.3    -6.37594    1    5
1.4    -6.5335    1    5
1.5    -6.703    1    5
1.6    -6.87664    1    5
1.7    -7.04242    1    5
1.8    -7.18329    1    5
1.9    -7.27877    1    5
2    -7.31086    1    5
2.1    -7.27231    1    5
2.2    -7.17048    1    5
2.3    -7.02267    1    5
2.4    -6.84778    1    5
2.5    -6.66085    1    5
2.6    -6.47169    1    5
2.7    -6.28583    1    5
2.8    -6.10591    1    5
2.9    -5.93278    1    5
3    -5.76626    1    5
3.1    -5.6056    1    5
3.2    -5.44974    1    5
3.3    -5.29742    1    5
3.4    -5.14731    1    5
3.5    -4.99807    1    5
3.6    -4.84833    1    5
3.7    -4.69681    1    5
3.8    -4.54231    1    5
3.9    -4.38377    1    5
4    -4.22037    1    5
4.1    -4.05152    1    5
4.2    -3.87698    1    5
4.3    -3.69688    1    5
4.4    -3.5117    1    5
4.5    -3.32235    1    5
4.6    -3.13005    1    5
4.7    -2.93638    1    5
4.8    -2.74314    1    5
4.9    -2.55234    1    5
5    -2.36612    1    5
5.1    -2.18668    1    5
5.2    -2.01621    1    5
5.3    -1.85686    1    5
5.4    -1.71064    1    5
5.5    -1.5794    1    5
5.6    -1.46475    1    5
5.7    -1.36802    1    5
5.8    -1.29027    1    5
5.9    -1.23222    1    5
6    -1.19426    1    5
6.1    -1.17651    1    5
6.2    -1.17883    1    5
6.3    -1.20087    1    5
